S No,Cargo Code,Cargo Description,Cargo Category Name,Cargo Short Name,Cargo Sub Category Name,Cargo Type Name,HS Code,Principal Commodity Name,SoR No. Code,Status,DSCHRG_RATE_PR_DAY,LD_RATE_PR_DAY
1,86072100,PARTS OF RAILWAY -AIR BRAKES,BREAK BULK,MACH,GENERAL CARGO,Packaged,86072100,Other Misc. Cargo,3.1.1.23,ACTIVE,1000,1000
2,C06029090,COCONUT &  GRASS-,BREAK BULK,GENL,GENERAL CARGO,Packaged,06029090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,900,900
3,C07133110,BLACK MATPE,BREAK BULK,PULSES,GENERAL CARGO,Packaged,07133110,Other Misc. Cargo,3.1.1.16,ACTIVE,1200,1200
4,C07136000,TUR  TOOR WHOLE,BREAK BULK,PULSES,GENERAL CARGO,Packaged,07136000,Other Misc. Cargo,3.1.1.16,ACTIVE,1200,1200
5,C10063090,INDIAN WHITE RICE,DRY BULK,RICEJB,FOOD GRAINS IN BREAK BULK,Packaged,10063090,Other Misc. Cargo,3.1.1.16,ACTIVE,10000,10000
6,C15111000,CRUDE PALM OIL,LIQUID BULK,CPOIL,EDIBLE OIL,Liquid Bulk,15111000,Other Liquids,3.1.1.11,ACTIVE,2700,2700
7,C15131900,COCONUT OIL,LIQUID BULK,EDOTHER,EDIBLE OIL,Liquid Bulk,15131900,Other Misc. Cargo,3.1.1.11,ACTIVE,2700,2700
8,C15180039,USED COOKING OIL NOT FOR HUMAN CONSUM,LIQUID BULK,UCKOIL,OTHER LIQUED CARGO,Liquid Bulk,15180039,Other Liquids,3.1.1.11,ACTIVE,2700,2700
9,C15180040,VEG OIL & FATS,LIQUID BULK,VEGOIL,EDIBLE OIL,Liquid Bulk,15180040,Other Liquids,3.1.1.11,ACTIVE,2700,2700
10,C25010010,SALT- COMMON,DRY BULK,SALT,OTHER DRY BULK CARGO,Dry Bulk,25010010,Other Misc. Cargo,3.1.1.32,ACTIVE,6700,900
11,C25010090,SALT - OTHER,DRY BULK,SALT,OTHER DRY BULK CARGO,Dry Bulk,25010090,Other Misc. Cargo,3.1.1.32,ACTIVE,6700,900
12,C25030010,SULPHUR,DRY BULK,SULPHUR,CHEMICALS IN DRY BULK,Dry Bulk,25030010,Fertilizers Raw,3.1.1.20,ACTIVE,6000,6000
13,C25051011,SILICA SAND - PROCESSED WHITE,DRY BULK,SICA,ORES AND MINARALS,Dry Bulk,25051011,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
14,C25051012,SILICA SAND (BROWN),BREAK BULK,SAND,ORES AND MINARALS,Dry Bulk,25051012,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
15,C25051019,SILICA SAND -  OTHER,DRY BULK,SICA,ORES AND MINARALS,Dry Bulk,25051019,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
16,C25070029,CALCINED KAOLIN,BREAK BULK,OTHBLK,GENERAL CARGO,Packaged,25070029,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
17,C25081010,BENTONITE CLAY,DRY BULK,BENT,ORES AND MINARALS,Dry Bulk,25081010,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
18,C25081090,BENTONITE,BREAK BULK,BENTONITE,ORES AND MINARALS,,25081090,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
19,C25086000,SINTERED MULLITE,BREAK BULK,MULLIATE,ORES AND MINARALS,Packaged,25086000,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
20,C25111020,BARYTES POWDER IN JUMBO BAGS,DRY BULK,BARTJB,ORES AND MINARALS,Packaged,25111020,Other Misc. Cargo,3.1.1.28,ACTIVE,1200,1200
21,C25161100,COBBLE STONES,DRY BULK,CSTONE,ORES AND MINARALS,Dry Bulk,25161100,Other Misc. Cargo,3.1.1.28,ACTIVE,6100,6100
22,C25161100G,GRANITE BLOCK,BREAK BULK,GBLOCK,STONES IN BULK,Packaged,25161100G,Other Misc. Cargo,3.1.1.21,ACTIVE,3000,3000
23,C25171090,12MM STONE DUST,DRY BULK,STONEOTH,CONSTRUCTION MATERIALS,Dry Bulk,25171090,Other Misc. Cargo,3.1.1.18,ACTIVE,10000,10000
24,C25181000,DOLOMITE,DRY BULK,DOLM,ORES AND MINARALS,Dry Bulk,25181000,Other Misc. Cargo,3.1.1.28,ACTIVE,12200,12200
25,C25199010,FUSED MAGNESIA,BREAK BULK,MAGNESIA,ORES AND MINARALS,Packaged,25199010,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
26,C25199020,DEAD BURNT MAGNESIA,BREAK BULK,MAGN,ORES AND MINARALS,Packaged,25199020,Other Misc. Cargo,3.1.1.37.B,ACTIVE,10000,10000
27,C25199030,Magnesium calcined (other than dead-burnt),BREAK BULK,MAGNESIA,GENERAL CARGO,Packaged,25199030,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
28,C25199040,CAUSTIC CALCINED MAGNESITE,BREAK BULK,MAGNESIA,OTHER DRY BULK CARGO,Packaged,25199040,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
29,C25199090,CAUSTIC CALCINED MAGNESIA,BREAK BULK,MAGNESIA,CHEMICALS,Packaged,25199090,Other Misc. Cargo,3.1.1.37.B,ACTIVE,1000,1000
30,C25201010,NATURAL GYPSUM,DRY BULK,GYPSUM,OTHER DRY BULK CARGO,Dry Bulk,25201010,Other Misc. Cargo,3.1.1.28,ACTIVE,10000,10000
