wagon_type,Wagon_Group,Rake_Size,Min_Load,Tare_Weight,CC_Weight,Free_Hours
BOXN,OPEN WAGONS ,59,58,22.48,68,8
BOXNHS,OPEN WAGONS ,59,58,22.51,68,8
BOXNHSM1,OPEN WAGONS ,59,58,22.53,68,8
BOXNHA,OPEN WAGONS ,59,58,23.17,67,8
BOXNEL,OPEN WAGONS ,59,58,23.1,67,8
BOXNLW,OPEN WAGONS ,59,58,20.6,70,8
BOXNM1 ,OPEN WAGONS ,59,58,20.6,71,8
BOXNHL ,OPEN WAGONS ,58,57,20.6,71,8
BOST,OPEN WAGONS ,45,43,25.5,63,8
BKCX ,OPEN WAGONS ,32,30,22,63,8
BOY,OPEN WAGONS ,53,50,24.9,56.3,8
BOYN,OPEN WAGONS ,53,50,24.9,56.3,8
BOYEL ,OPEN WAGONS ,53,50,24.9,56.3,8
BOBR,HOPPER WAGONS ,53,50,25.6,54.2,8
BOBRN,HOPPER WAGONS ,59,56,25.6,54.2,8
BOB,HOPPER WAGONS ,40,40,22,49,8
BOBC,HOPPER WAGONS ,40,40,22,49,8
BOBX,HOPPER WAGONS ,40,40,22,49,8
BOXK,HOPPER WAGONS ,40,40,22,49,8
BOBS ,HOPPER WAGONS ,40,40,22,49,8
BOBSN,HOPPER WAGONS ,53,48,22,56,8
BOBSNMI,HOPPER WAGONS ,53,48,22,56,8
BOBY,HOPPER WAGONS ,53,48,22,56,8
BOBYN,HOPPER WAGONS ,53,48,22,56,8
BRN,FLAT WAGONS ,43,38,22,56,8
BRNA,FLAT WAGONS ,43,38,22,56,8
BRNAHS,FLAT WAGONS ,43,38,22,56,8
BFNS ,FLAT WAGONS ,43,38,22,56,8
BRH,FLAT WAGONS ,35,30,22,56,8
BRS ,FLAT WAGONS ,35,30,22,56,8
BFR,FLAT WAGONS ,35,30,22,56,8
BFK,FLAT WAGONS ,35,30,22,56,8
BFKI,FLAT WAGONS ,35,30,22,56,8
BCN,COVERED WAGONS ,41,39,22,56,8
BCXN,COVERED WAGONS ,41,39,22,56,8
BCNA,COVERED WAGONS ,42,40,22,56,8
BCNAHS,COVERED WAGONS ,42,40,22,56,8
BCNHL,COVERED WAGONS ,58,57,20.8,68,8
BCX,COVERED WAGONS ,40,35,20.5,56,8
BCCN ,COVERED WAGONS ,30,29,20.5,56,8
NMG,COVERED WAGONS ,25,24,20.5,56,8
BTPN,TANK WAGONS ,48,46,20.5,56,8
BTFLN ,TANK WAGONS ,48,46,20.5,56,8
BTAP,TANK WAGONS ,51,49,20.5,56,8
BTCS,TANK WAGONS ,59,57,20.5,56,8
BTAL ,TANK WAGONS ,35,32,20.5,56,8
BCCW(Bulk Cement) ,TANK WAGONS ,40,38,20.5,56,8
BTPGLN,TANK WAGONS ,32,30,20.5,56,8
BTPG ,TANK WAGONS ,32,30,20.5,56,8
