Lab_Category,Shift,Type_Cargo,Type_Description,Rate
On Board Supervisor,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,5220
Tally Clerk,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,4802
Tindal,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,3822
Maistry,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,3939
Winch Driver,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,3750
Signal Man,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,3754
Mazdoor,Full,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,3278
On Board Supervisor,Full,ALLOTHCG,All other cargo,10886
Tally Clerk,Full,ALLOTHCG,All other cargo,10015
Tindal,Full,ALLOTHCG,All other cargo,7971
Maistry,Full,ALLOTHCG,All other cargo,8215
Winch Driver,Full,ALLOTHCG,All other cargo,7819
Signal Man,Full,ALLOTHCG,All other cargo,7828
Mazdoor,Full,ALLOTHCG,All other cargo,6836
On Board Supervisor,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,2610
Tally Clerk,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,2402
Tindal,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,1911
Maistry,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,1970
Winch Driver,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,1876
Signal Man,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,1878
Mazdoor,Half,AGPSUBGS,Agri Produce-Sugar-in Bags or pallets,1640
On Board Supervisor,Half,ALLOTHCG,All other cargo,5444
Tally Clerk,Half,ALLOTHCG,All other cargo,5008
Tindal,Half,ALLOTHCG,All other cargo,3986
Maistry,Half,ALLOTHCG,All other cargo,4108
Winch Driver,Half,ALLOTHCG,All other cargo,3910
Signal Man,Half,ALLOTHCG,All other cargo,3914
Mazdoor,Half,ALLOTHCG,All other cargo,3419
